dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
uniprot_r539166_c223,539166,120,0.3,1,1,12.8914,12.2694,7.61471,0,1.04399,0.621998,0.584412,0.0319931,674,429,198889,198791,11,405,2980628,279,1706604
uniprot_r539166_c223,539166,120,0.3,1,1,12.9291,12.2318,7.57438,0,1.04087,0.697333,0.602244,0.0837176,816,430,198884,198791,11,405,6578479,279,1706604
uniprot_r539166_c223,539166,120,0.3,1,1,12.8566,12.2469,7.58368,0,1.03956,0.609702,0.59436,0.0118869,573,361,198869,198791,11,336,1350779,279,1706928
uniprot_r539166_c223,539166,120,0.3,1,1,12.8933,12.2392,7.58257,0,1.03928,0.654087,0.600131,0.0475169,1066,391,198866,198791,11,379,5805338,279,1706704
uniprot_r539166_c223,539166,120,0.3,1,1,12.8498,12.2392,7.58297,0,1.04456,0.610611,0.583949,0.0231686,402,382,198868,198791,11,353,2433375,279,1706700
uniprot_r539166_c223,539166,120,0.3,1,1,12.8641,12.2329,7.57427,0,1.0475,0.631211,0.597678,0.028266,642,386,198833,198791,11,376,3036163,279,1706604
uniprot_r539166_c223,539166,120,0.3,1,1,12.8547,12.2356,7.58506,0,1.04265,0.619178,0.59139,0.0229852,123,346,198834,198791,11,339,2528989,279,1706684
uniprot_r539166_c223,539166,140,0.3,1,1,13.924,13.0543,8.21998,0,1.09973,0.869737,0.835897,0.0285651,218,499,242195,242137,11,484,3732492,408,1858484
uniprot_r539166_c223,539166,140,0.3,1,1,13.9346,12.9664,8.13778,0,1.0982,0.968239,0.936334,0.0256784,937,521,242222,242137,11,481,2633939,408,1858488
uniprot_r539166_c223,539166,140,0.3,1,1,13.8961,12.992,8.16064,0,1.09894,0.904107,0.876136,0.0232466,678,527,242206,242137,11,504,2200891,408,1858484
uniprot_r539166_c223,539166,140,0.3,1,1,13.9037,12.9699,8.14235,0,1.09758,0.933808,0.874313,0.0460058,1366,501,242238,242137,11,473,3449529,408,1858368
uniprot_r539166_c223,539166,140,0.3,1,1,13.8816,12.9831,8.14605,0,1.10362,0.898495,0.870366,0.0237238,715,502,242199,242137,11,487,2414450,408,1858200
uniprot_r539166_c223,539166,140,0.3,1,1,13.873,12.9828,8.14817,0,1.09931,0.890184,0.860761,0.0242653,881,524,242222,242137,11,478,2084881,408,1858548
uniprot_r539166_c223,539166,140,0.3,1,1,13.9068,12.9637,8.12721,0,1.09647,0.943118,0.881023,0.0538394,1758,573,242220,242137,11,542,6894740,408,1858460
uniprot_r539166_c223,539166,140,0.3,1,1,14.0069,13.0497,8.18455,0,1.10252,0.957164,0.920647,0.0305812,1093,513,242213,242137,11,499,3939736,408,1858420
uniprot_r539166_c223,539166,140,0.3,1,1,13.8609,12.9762,8.15008,0,1.09811,0.884704,0.84135,0.0352989,267,530,242208,242137,11,517,3431397,408,1858120
uniprot_r539166_c223,539166,140,0.3,1,1,13.8851,12.9723,8.13557,0,1.10307,0.912783,0.879226,0.0281233,885,533,242191,242137,11,525,3146449,408,1858360
uniprot_r539166_c223,539166,140,0.3,1,1,13.8641,12.9699,8.13932,0,1.09658,0.894241,0.846886,0.0395173,1083,533,242200,242137,11,509,5502537,408,1858316
uniprot_r539166_c223,539166,140,0.3,1,1,13.8877,12.9724,8.15103,0,1.0982,0.915263,0.901915,0.00942041,396,533,242204,242137,11,517,1671538,408,1858424
uniprot_r539166_c223,539166,140,0.3,1,1,13.861,12.9664,8.12977,0,1.10088,0.894621,0.857975,0.0305844,1177,527,242184,242137,11,498,4234983,408,1858580
uniprot_r539166_c223,539166,140,0.3,1,1,13.8855,12.983,8.13961,0,1.10834,0.902497,0.859638,0.0370398,867,566,242200,242137,11,545,5285763,408,1858256
uniprot_r539166_c223,539166,140,0.3,1,1,13.8405,12.9463,8.11469,0,1.09717,0.894244,0.883369,0.00792064,692,521,242176,242137,11,514,1079944,408,1858156
uniprot_r539166_c223,539166,160,0.3,1,1,14.7786,13.6228,8.69752,0,1.14471,1.1558,1.12415,0.0265925,734,835,286311,286227,13,777,2846244,623,1995932
uniprot_r539166_c223,539166,160,0.3,1,1,14.8119,13.574,8.64773,0,1.14451,1.23793,1.20804,0.0240538,2999,770,286307,286227,13,741,3298001,623,1995916
uniprot_r539166_c223,539166,160,0.3,1,1,14.8023,13.5445,8.62342,0,1.14061,1.25779,1.20335,0.03812,614,826,286338,286227,13,783,3689513,623,1995988
uniprot_r539166_c223,539166,160,0.3,1,1,14.7276,13.5171,8.61007,0,1.13534,1.21055,1.16352,0.0408405,1081,835,286289,286227,13,811,5587858,623,1995900
uniprot_r539166_c223,539166,160,0.3,1,1,14.6871,13.5331,8.61214,0,1.14218,1.15403,1.12662,0.023261,905,766,286266,286227,13,753,3038498,623,1995568
