dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
ncvoter_r8060060_c19,8060060,19,0.3,1,0,53.1881,35.3261,22.8186,0,3.36891,17.862,0.0907655,15.931,776,340,103802,103563,50,304,351973271,96,4225944
ncvoter_r8060060_c19,8060060,19,0.3,1,0,48.0438,35.4403,22.9095,0,3.38756,12.6035,0.0909421,11.6506,963,393,103841,103563,50,346,256433350,96,4225876
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.1811,35.3321,22.838,0,3.37228,12.849,0.0907032,11.3989,871,368,103827,103563,50,323,286927611,96,4225500
ncvoter_r8060060_c19,8060060,19,0.3,1,1,50.473,35.4405,22.9378,0,3.37562,15.0325,0.0909873,14.2283,884,387,103814,103563,50,344,248344205,96,4225504
ncvoter_r8060060_c19,8060060,19,0.3,1,1,45.6228,35.4063,22.9074,0,3.38033,10.2166,0.0910197,9.31032,835,356,103823,103563,50,322,256439956,96,4225272
ncvoter_r8060060_c19,8060060,19,0.3,1,1,46.5787,35.3954,22.896,0,3.37579,11.1833,0.0922214,10.2355,714,336,103876,103563,50,308,193973963,96,4225652
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.9488,35.34,22.877,0,3.36708,13.6088,0.0948536,12.1684,860,360,103863,103563,50,319,268869575,96,4225444
ncvoter_r8060060_c19,8060060,19,0.3,1,1,46.5536,35.3139,22.8344,0,3.36571,11.2397,0.0909305,10.3055,802,355,103825,103563,50,322,273965120,96,4225564
ncvoter_r8060060_c19,8060060,19,0.3,1,1,51.2406,35.2842,22.8072,0,3.37164,15.9564,0.0971051,14.3688,768,341,103838,103563,50,312,288650954,96,4225228
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.5778,35.422,22.9256,0,3.36907,13.1558,0.0918067,12.0639,744,354,103837,103563,50,335,223903491,96,4225288
ncvoter_r8060060_c19,8060060,19,0.3,1,1,47.6871,35.3752,22.8343,0,3.38731,12.312,0.0929409,10.9819,720,340,103880,103563,50,307,269480259,96,4225564
ncvoter_r8060060_c19,8060060,19,0.3,1,1,49.0624,35.3251,22.8456,0,3.37711,13.7373,0.0919085,12.7661,826,368,103864,103563,50,332,307533774,96,4225248
ncvoter_r8060060_c19,8060060,19,0.3,1,1,52.1269,35.279,22.8187,0,3.37116,16.8479,0.0912749,14.7316,854,355,103821,103563,50,311,314219638,96,4225444
ncvoter_r8060060_c19,8060060,19,0.3,1,1,47.4302,34.9065,22.563,0,3.30475,12.5237,0.0916377,11.0987,840,372,103869,103563,50,333,268879711,96,4225444
ncvoter_r8060060_c19,8060060,19,0.3,1,1,49.2791,35.3233,22.8388,0,3.37109,13.9558,0.0934487,13.2224,863,370,103938,103563,50,333,225901888,96,4225272
ncvoter_r8060060_c19,8060060,19,0.3,1,1,50.4048,35.2187,22.8147,0,3.36988,15.1861,0.0907942,13.5297,1021,353,103828,103563,50,309,296132313,96,4225652
ncvoter_r8060060_c19,8060060,19,0.3,1,1,45.7664,35.3351,22.8198,0,3.37556,10.4312,0.090707,9.50277,801,359,103827,103563,50,323,187251414,96,4225552
ncvoter_r8060060_c19,8060060,19,0.3,1,1,54.0545,35.3229,22.8325,0,3.36948,18.7316,0.0907534,16.2399,813,348,103811,103563,50,320,359965484,96,4225652
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.0901,35.3454,22.8596,0,3.36384,12.7446,0.0919765,11.0428,792,358,103800,103563,50,326,274399685,96,4225644
ncvoter_r8060060_c19,8060060,19,0.3,1,1,45.6801,35.3661,22.8705,0,3.37585,10.314,0.0915358,9.42908,640,321,103836,103563,50,299,185210970,96,4225572
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.5701,35.3221,22.8431,0,3.36822,13.248,0.0928313,12.0006,717,342,103859,103563,50,315,272029470,96,4225492
ncvoter_r8060060_c19,8060060,19,0.3,1,1,49.7365,35.3206,22.802,0,3.40766,14.4159,0.0915121,12.6487,842,348,103826,103563,50,315,305659367,96,4225656
ncvoter_r8060060_c19,8060060,19,0.3,1,1,48.0722,35.3651,22.8605,0,3.37517,12.7071,0.0913782,11.9767,845,376,103809,103563,50,338,223477999,96,4225588
ncvoter_r8060060_c19,8060060,19,0.3,1,1,46.9825,35.3494,22.8363,0,3.38375,11.6331,0.0907336,10.1563,700,320,103794,103563,50,293,251441592,96,4225556
ncvoter_r8060060_c19,8060060,19,0.3,1,1,46.8291,34.9119,22.6626,0,3.28643,11.9172,0.090292,11.0088,946,390,103841,103563,50,344,265842440,96,4225564
ncvoter_r8060060_c19,8060060,19,0.3,1,1,47.8119,35.341,22.8627,0,3.37109,12.471,0.0937616,11.0618,760,347,103911,103563,50,317,250282878,96,4225456
ncvoter_r8060060_c19,8060060,19,0.3,1,1,47.4932,35.3377,22.8508,0,3.36607,12.1555,0.092126,10.6343,893,369,103914,103563,50,334,267571900,96,4225496
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,73.2067,4.87802,3.5578,0,0.443213,68.3287,0.169614,60.0665,435328,210748,46559,30037,10572,196711,1275502656,137478,564224
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,80.666,4.84946,3.52651,0,0.443003,75.8165,0.16535,67.0281,456471,210396,46211,30037,10572,195937,1396174852,137478,564476
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,76.7486,4.78957,3.48522,0,0.436136,71.959,0.165711,64.2583,418086,210256,46138,30037,10572,196430,1359394679,137478,564532
