dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
struct_sheet_range_r664128_c32,664128,32,0.3,1,1,4.1291,3.96107,2.26256,0,0.447015,0.168029,0.0268935,0.137883,47,205,24403,24395,6,203,9943052,167,623020
struct_sheet_range_r664128_c32,664128,32,0.3,1,1,4.12376,3.95615,2.25878,0,0.447282,0.167608,0.0267508,0.137674,47,204,24402,24395,6,202,9943128,167,623020
struct_sheet_range_r664128_c32,664128,32,0.3,1,1,4.12703,3.95904,2.26412,0,0.446849,0.167986,0.0269416,0.137864,47,204,24402,24395,6,202,9943128,167,622728
struct_sheet_range_r664128_c32,664128,32,0.4,1,1,4.28327,3.947,2.25643,0,0.44654,0.336269,0.196606,0.136326,47,205,276333,276320,6,203,9943052,167,622996
struct_sheet_range_r664128_c32,664128,32,0.4,1,1,4.28465,3.9472,2.25448,0,0.447101,0.337457,0.19673,0.137552,47,205,276333,276320,6,203,9943052,167,622752
struct_sheet_range_r664128_c32,664128,32,0.4,1,1,4.29328,3.95727,2.25282,0,0.452357,0.33601,0.195936,0.136906,47,205,276333,276320,6,203,9943052,167,622792
struct_sheet_range_r664128_c32,664128,32,0.4,1,1,4.2884,3.94747,2.25026,0,0.446221,0.340929,0.200218,0.137452,47,205,276333,276320,6,203,9943052,167,622788
struct_sheet_range_r664128_c32,664128,32,0.4,1,1,4.31791,3.97724,2.26368,0,0.447443,0.340664,0.19906,0.138331,47,204,276331,276320,6,202,9943128,167,622896
struct_sheet_range_r664128_c32,664128,32,0.5,1,1,6.06008,3.9541,2.25561,0,0.446778,2.10598,1.96527,0.137536,47,205,3263423,3263405,6,203,9943052,167,622956
struct_sheet_range_r664128_c32,664128,32,0.5,1,1,6.06518,3.9631,2.26477,0,0.446914,2.10208,1.96176,0.137135,47,205,3263423,3263405,6,203,9943052,167,623024
struct_sheet_range_r664128_c32,664128,32,0.5,1,1,6.07734,3.97725,2.27929,0,0.446852,2.10009,1.95922,0.137692,48,204,3263421,3263405,6,202,9943128,167,622728
struct_sheet_range_r664128_c32,664128,32,0.5,1,1,6.12858,4.00006,2.27794,0,0.454825,2.12852,1.98115,0.144159,49,205,3263416,3263405,6,203,9943052,167,623024
struct_sheet_range_r664128_c32,664128,32,0.5,1,1,6.05691,3.95177,2.25387,0,0.44667,2.10515,1.96395,0.138014,48,205,3263423,3263405,6,203,9943052,167,623020
