dataset,rows,cols,hyucc_t_total_ms,hyucc_memory,hyucc_ucc_count,hyucc_t_safepoint_ns
lineitem_r6001215_c16,2000000,16,118885,3215524,399,908578082
lineitem_r6001215_c16,2500000,16,167215,4785480,399,2481348603
lineitem_r6001215_c16,2500000,16,167792,4708164,399,2575388585
lineitem_r6001215_c16,2500000,16,166492,4855044,399,2561890985
lineitem_r6001215_c16,2500000,16,166233,4725028,399,2548856482
lineitem_r6001215_c16,2500000,16,166383,4766512,399,2573283881
lineitem_r6001215_c16,3000000,16,192356,3828308,385,1775648015
lineitem_r6001215_c16,3000000,16,195928,3943880,385,1749825090
lineitem_r6001215_c16,3000000,16,195381,5112592,385,2732181712
lineitem_r6001215_c16,3000000,16,194054,3900568,385,1774780444
lineitem_r6001215_c16,3000000,16,193845,4041244,385,1812366611
lineitem_r6001215_c16,3500000,16,237278,4158084,381,2105767041
lineitem_r6001215_c16,3500000,16,238386,3792256,381,1846578684
lineitem_r6001215_c16,3500000,16,235629,3700112,381,1878981904
lineitem_r6001215_c16,3500000,16,235625,3872608,381,1821427376
lineitem_r6001215_c16,3500000,16,238358,3791688,381,1860853025
lineitem_r6001215_c16,4000000,16,281713,4428104,386,2117160941
lineitem_r6001215_c16,4000000,16,281675,4381728,386,2117319729
lineitem_r6001215_c16,4000000,16,282281,4329352,386,2108818843
lineitem_r6001215_c16,4000000,16,282567,4479892,386,2070231982
lineitem_r6001215_c16,4000000,16,282255,4286812,386,2135868214
lineitem_r6001215_c16,4500000,16,313159,7016824,387,3526729396
lineitem_r6001215_c16,4500000,16,312670,6766976,387,3452219138
lineitem_r6001215_c16,4500000,16,312412,7133184,387,3608422400
lineitem_r6001215_c16,4500000,16,311832,7196912,387,3629786293
lineitem_r6001215_c16,4500000,16,310779,6848204,387,3550838546
ncvoter_allc_r7503554_c94,250000,94,525809,9456880,29182,1064227024
ncvoter_allc_r7503554_c94,500000,94,3119668,8404164,91681,5119221811
ncvoter_allc_r7503554_c94,750000,94,5167802,7584560,95222,7793899326
ncvoter_allc_r7503554_c94,1000000,94,9195617,11807556,95952,19797278683
ncvoter_allc_r7503554_c94,1250000,94,23682511,12676168,167971,49784743643
